============================================================
  Logo Scraper Run -- 2026-06-04_09-47-05
============================================================

[09:47:22] Total colleges in 'colleges' folder : 1076
[09:47:22] Already completed (logos exist)         : 914
[09:47:23]   [skip] carnegie mellon university
[09:47:23]   [skip] carroll college
[09:47:23]   [skip] carson-newman college
[09:47:23]   [skip] carthage college
[09:47:23]   [skip] case western reserve university
[09:47:23]   [skip] cedarville college
[09:47:23]   [skip] centenary college of louisiana
[09:47:23]   [skip] central college
[09:47:23]   [skip] central connecticut state university
[09:47:23]   [skip] central methodist college
[09:47:23]   [skip] central michigan university
[09:47:23]   [skip] central missouri state university
[09:47:23]   [skip] central washington university
[09:47:23]   [skip] centre college
[09:47:23]   [skip] chadron state college
[09:47:23]   [skip] champlain college
[09:47:23]   [skip] chapman university
[09:47:23]   [skip] chatham college
[09:47:23]   [skip] chesapeake college
[09:47:23]   [skip] cheyney university
[09:47:23]   [skip] christian brothers university
[09:47:23]   [skip] christopher newport university
[09:47:23]   [skip] city university
[09:47:23]   [skip] city university of new york
[09:47:23]   [skip] claremont graduate school
[09:47:23]   [skip] claremont mckenna college
[09:47:23]   [skip] clarion university of pennsylvania
[09:47:23]   [skip] clark university
[09:47:23]   [skip] clarke college
[09:47:23]   [skip] clarkson university
[09:47:23]   [skip] clayton state college
[09:47:23]   [skip] clemson university
[09:47:23]   [skip] cleveland state university
[09:47:23]   [skip] clinch valley college
[09:47:23]   [skip] coastal carolina university
[09:47:23]   [skip] coe college
[09:47:23]   [skip] coker college
[09:47:23]   [skip] colby college
[09:47:23]   [skip] colgate university
[09:47:23]   [skip] college of charleston
[09:47:23]   [skip] college of eastern utah
[09:47:23]   [skip] college of saint benedict
[09:47:23]   [skip] college of saint catherine
[09:47:23]   [skip] college of saint rose
[09:47:23]   [skip] college of st. francis
[09:47:23]   [skip] college of st. scholastica
[09:47:23]   [skip] college of the atlantic
[09:47:23]   [skip] college of the holy cross
[09:47:23]   [skip] college of william and mary
[09:47:23]   [skip] colorado christian university
[09:47:23]   [skip] colorado college
[09:47:23]   [skip] colorado school of mines
[09:47:23]   [skip] colorado state university
[09:47:23]   [skip] columbia college chicago
[09:47:23]   [skip] columbia southern university
[09:47:23]   [skip] columbia union college
[09:47:23]   [skip] columbia university
[09:47:23]   [skip] concordia college-ann arbor
[09:47:23]   [skip] concordia college-moorhead
[09:47:23]   [skip] connecticut college
[09:47:23]   [skip] coppin state college
[09:47:23]   [skip] cornell college
[09:47:23]   [skip] cornell university
[09:47:23]   [skip] creighton university
[09:47:23]   [skip] curry college
[09:47:23]   [skip] daemen college
[09:47:23]   [skip] dakota state university
[09:47:23]   [skip] daniel webster college
[09:47:23]   [skip] dartmouth college
[09:47:23]   [skip] davidson college
[09:47:23]   [skip] davis & elkins college
[09:47:23]   [skip] delaware state university
[09:47:23]   [skip] delta state university
[09:47:23]   [skip] denison university
[09:47:23]   [skip] depaul university
[09:47:23]   [skip] depauw university
[09:47:23]   [skip] devry institute of technology
[09:47:23]   [skip] dickinson college
[09:47:23]   [skip] dickinson state university
[09:47:23]   [skip] dillard university
[09:47:23]   [skip] dominican college
[09:47:23]   [skip] dordt college
[09:47:23]   [skip] dowling college
[09:47:23]   [skip] drake university
[09:47:23]   [skip] drew university
[09:47:23]   [skip] drexel university
[09:47:23]   [skip] drury college
[09:47:23]   [skip] duke university
[09:47:23]   [skip] duquesne university
[09:47:23]   [skip] earlham college
[09:47:23]   [skip] east carolina university
[09:47:23]   [skip] east central university
[09:47:23]   [skip] east tennessee state university
[09:47:23]   [skip] east texas state university
[09:47:23]   [skip] eastern connecticut state university
[09:47:23]   [skip] eastern illinois university
[09:47:23]   [skip] eastern kentucky university
[09:47:23]   [skip] eastern mennonite university
[09:47:23]   [skip] eastern michigan university
[09:47:23]   [skip] eastern nazarene college
[09:47:23]   [skip] eastern new mexico university
[09:47:23]   [skip] eastern oregon state college
[09:47:23]   [skip] eastern washington university
[09:47:23]   [skip] edgewood college
[09:47:23]   [skip] edinboro university of pennsylvania
[09:47:23]   [skip] elizabeth city state university
[09:47:23]   [skip] elizabethtown college
[09:47:23]   [skip] elmhurst college
[09:47:23]   [skip] elon college
[09:47:23]   [skip] embry-riddle aeronautical university, arizona
[09:47:23]   [skip] embry-riddle aeronautical university, florida
[09:47:23]   [skip] emerson college
[09:47:23]   [skip] emmanuel college
[09:47:23]   [skip] emmaus bible college
[09:47:23]   [skip] emory & henry college
[09:47:23]   [skip] emory university
[09:47:23]   [skip] emporia state university
[09:47:23]   [skip] evergreen state college
[09:47:23]   [skip] fairfield university
[09:47:23]   [skip] fairleigh dickinson university
[09:47:23]   [skip] fairmont state college
[09:47:23]   [skip] fayetteville state university
[09:47:23]   [skip] ferris state university
[09:47:23]   [skip] fielding institute
[09:47:23]   [skip] fisk university
[09:47:23]   [skip] fitchburg state college
[09:47:23]   [skip] florida agricultural and mechanical university
[09:47:23]   [skip] florida atlantic university
[09:47:23]   [skip] florida gulf coast university
[09:47:23]   [skip] florida institute of technology
[09:47:23]   [skip] florida international university
[09:47:23]   [skip] florida state university
[09:47:23]   [skip] fontbonne college
[09:47:23]   [skip] fordham university
[09:47:23]   [skip] fort hays state university
[09:47:23]   [skip] fort lewis college
[09:47:23]   [skip] franklin and marshall college
[09:47:23]   [skip] franklin pierce law center
[09:47:23]   [skip] franklin university
[09:47:23]   [skip] fresno pacific university
[09:47:23]   [skip] friends university
[09:47:23]   [skip] frostburg state university
[09:47:23]   [skip] fuller theological seminary
[09:47:23]   [skip] furman university
[09:47:23]   [skip] gallaudet university
[09:47:23]   [skip] gannon university
[09:47:23]   [skip] geneva college
[09:47:23]   [skip] george fox college
[09:47:23]   [skip] george mason university
[09:47:23]   [skip] george washington university
[09:47:23]   [skip] georgetown university
[09:47:23]   [skip] georgia college
[09:47:23]   [skip] georgia institute of technology
[09:47:23]   [skip] georgia southern university
[09:47:23]   [skip] georgia southwestern college
[09:47:23]   [skip] georgia state university
[09:47:23]   [skip] georgian court college
[09:47:23]   [skip] gettysburg college
[09:47:23]   [skip] gmi engineering and management institute
[09:47:23]   [skip] golden gate university
[09:47:23]   [skip] goldey-beacom college
[09:47:23]   [skip] gonzaga university
[09:47:23]   [skip] goshen college
[09:47:23]   [skip] goucher college
[09:47:23]   [skip] governors state university
[09:47:23]   [skip] grace college
[09:47:23]   [skip] graceland college
[09:47:23]   [skip] grand valley state university
[09:47:23]   [skip] grinnell college
[09:47:23]   [skip] guilford college
[09:47:23]   [skip] gustavus adolphus college
[09:47:23]   [skip] gutenberg college h
[09:47:23]   [skip] hamilton college
[09:47:23]   [skip] hamline university
[09:47:23]   [skip] hampden-sydney college
[09:47:23]   [skip] hampshire college
[09:47:23]   [skip] hampton university
[09:47:23]   [skip] hanover college
[09:47:23]   [skip] harding university
[09:47:23]   [skip] hartwick college
[09:47:23]   [skip] harvard university
[09:47:23]   [skip] harvey mudd college
[09:47:23]   [skip] haskell indian nations university
[09:47:23]   [skip] hastings college
[09:47:23]   [skip] haverford college in pennsylvania
[09:47:23]   [skip] hawaii pacific university
[09:47:23]   [skip] heidelberg college
[09:47:23]   [skip] hendrix college
[09:47:23]   [skip] hesston college
[09:47:23]   [skip] high point university
[09:47:23]   [skip] hillsdale college
[09:47:23]   [skip] hiram college
[09:47:23]   [skip] hobart and william smith colleges
[09:47:23]   [skip] hofstra university
[09:47:23]   [skip] hollins college
[09:47:23]   [skip] holy cross college
[09:47:23]   [skip] hood college
[09:47:23]   [skip] hope college
[09:47:23]   [skip] howard university
[09:47:23]   [skip] humboldt state university
[09:47:23]   [skip] hunter college
[09:47:23]   [skip] huntingdon college
[09:47:23]   [skip] ici university
[09:47:23]   [skip] idaho state university
[09:47:23]   [skip] john brown university
[09:47:23]   [skip] john f. kennedy university
[09:47:23]   [skip] johns hopkins university
[09:47:23]   [skip] johnson & wales university
[09:47:23]   [skip] johnson bible college
[09:47:23]   [skip] johnson c. smith university
[09:47:23]   [skip] jones college
[09:47:23]   [skip] judson college
[09:47:23]   [skip] juniata college
[09:47:23]   [skip] kalamazoo college
[09:47:23]   [skip] kansas state university
[09:47:23]   [skip] kansas wesleyan university
[09:47:23]   [skip] kean college
[09:47:23]   [skip] keene state college
[09:47:23]   [skip] kent state university
[09:47:23]   [skip] kenyon college
[09:47:23]   [skip] king's college
[09:47:23]   [skip] kutztown university of pennsylvania
[09:47:23]   [skip] la sierra university
[09:47:23]   [skip] lafayette college
[09:47:23]   [skip] lagrange college
[09:47:23]   [skip] lake forest college
[09:47:23]   [skip] lake superior state university
[09:47:23]   [skip] lamar university
[09:47:23]   [skip] langston university
[09:47:23]   [skip] lasalle university
[09:47:23]   [skip] lawrence technological university
[09:47:23]   [skip] lawrence university
[09:47:23]   [skip] le moyne college
[09:47:23]   [skip] lebanon valley college
[09:47:23]   [skip] lehigh univervsity
[09:47:23]   [skip] lenoir-rhyne college
[09:47:23]   [skip] letourneau university
[09:47:23]   [skip] lewis & clark college
[09:47:23]   [skip] lewis university
[09:47:23]   [skip] lewis-clark state college
[09:47:23]   [skip] liberty university
[09:47:23]   [skip] linfield college
[09:47:23]   [skip] lock haven university of pennsylvania
[09:47:23]   [skip] loma linda university
[09:47:23]   [skip] long island university
[09:47:23]   [skip] longwood college
[09:47:23]   [skip] loras college
[09:47:23]   [skip] louisiana college
[09:47:23]   [skip] louisiana state university
[09:47:23]   [skip] louisiana state university at alexandria
[09:47:23]   [skip] louisiana state university at shreveport
[09:47:23]   [skip] louisiana tech university
[09:47:23]   [skip] loyola college
[09:47:23]   [skip] loyola marymount university
[09:47:23]   [skip] loyola university chicago
[09:47:23]   [skip] luther college
[09:47:23]   [skip] luther seminary
[09:47:23]   [skip] lycoming college
[09:47:23]   [skip] lynchburg college
[09:47:23]   [skip] lyndon state college
[09:47:23]   [skip] lyon college
[09:47:23]   [skip] macalester college
[09:47:23]   [skip] maine maritime academy
[09:47:23]   [skip] malone college
[09:47:23]   [skip] manhattan college
[09:47:23]   [skip] mankato state university
[09:47:23]   [skip] mansfield university of pennsylvania
[09:47:23]   [skip] marietta college
[09:47:23]   [skip] marist college
[09:47:23]   [skip] marlboro college
[09:47:23]   [skip] marquette university
[09:47:23]   [skip] marshall university
[09:47:23]   [skip] mary baldwin college
[09:47:23]   [skip] mary washington college
[09:47:23]   [skip] marymount college
[09:47:23]   [skip] marymount university
[09:47:23]   [skip] massachusetts institute of technology
[09:47:23]   [skip] mcmurry university
[09:47:23]   [skip] mcneese state university
[09:47:23]   [skip] medical college of georgia
[09:47:23]   [skip] medical college of wisconsin
[09:47:23]   [skip] mercer university
[09:47:23]   [skip] mercyhurst college
[09:47:23]   [skip] meredith college
[09:47:23]   [skip] messiah college
[09:47:23]   [skip] metropolitan state college of denver
[09:47:23]   [skip] metropolitan state university
[09:47:23]   [skip] miami university of ohio
[09:47:23]   [skip] michigan state university
[09:47:23]   [skip] michigan technological university
[09:47:23]   [skip] millersville university of pennsylvania
[09:47:23]   [skip] milligan college
[09:47:23]   [skip] millikin university
[09:47:23]   [skip] millsaps college
[09:47:23]   [skip] milwaukee school of engineering
[09:47:23]   [skip] minneapolis college of art and design
[09:47:23]   [skip] minot state university
[09:47:23]   [skip] mississippi college
[09:47:23]   [skip] mississippi state university
[09:47:23]   [skip] mississippi university for women
[09:47:23]   [skip] missouri southern state college
[09:47:23]   [skip] missouri western state college
[09:47:23]   [skip] molloy college
[09:47:23]   [skip] monmouth college
[09:47:23]   [skip] monmouth university
[09:47:23]   [skip] montana state university-billings
[09:47:23]   [skip] montana state university-bozeman
[09:47:23]   [skip] montana state university-northern
[09:47:23]   [skip] montana tech
[09:47:23]   [skip] montclair state university
[09:47:23]   [skip] montreat college
[09:47:23]   [skip] moorhead state university
[09:47:23]   [skip] moravian college
[09:47:23]   [skip] morehouse college
[09:47:23]   [skip] morgan state university
[09:47:23]   [skip] mount holyoke college
[09:47:23]   [skip] mount saint joseph college
[09:47:23]   [skip] mount saint mary college
[09:47:23]   [skip] mount senario college
[09:47:23]   [skip] mount union college
[09:47:23]   [skip] murray state university
[09:47:23]   [skip] muskingum college
[09:47:23]   [skip] national defense university
[09:47:23]   [skip] national technological university
[09:47:23]   [skip] national university
[09:47:23]   [skip] national-louis university
[09:47:23]   [skip] naval postgraduate school
[09:47:23]   [skip] nazareth college
[09:47:23]   [skip] new college of california
[09:47:23]   [skip] new england institute of technology
[09:47:23]   [skip] new hampshire college
[09:47:23]   [skip] new jersey institute of technology
[09:47:23]   [skip] new mexico highlands university
[09:47:23]   [skip] new mexico institute of mining & technology
[09:47:23]   [skip] new mexico state university
[09:47:23]   [skip] new york institute of technology
[09:47:23]   [skip] new york university
[09:47:23]   [skip] newberry college
[09:47:23]   [skip] niagara university
[09:47:23]   [skip] nicholls state university
[09:47:23]   [skip] norfolk state university
[09:47:23]   [skip] north adams state college
[09:47:23]   [skip] north carolina a&t state university
[09:47:23]   [skip] north carolina central university
[09:47:23]   [skip] north carolina state university
[09:47:23]   [skip] north carolina wesleyan college
[09:47:23]   [skip] north central bible college
[09:47:23]   [skip] north dakota state university
[09:47:23]   [skip] north park college and theological seminary
[09:47:23]   [skip] northeastern illinois university
[09:47:23]   [skip] northeastern state university
[09:47:23]   [skip] northeastern university
[09:47:23]   [skip] northern arizona university
[09:47:23]   [skip] northern illinois university
[09:47:24]   [skip] northern kentucky university
[09:47:24]   [skip] northern michigan university
[09:47:24]   [skip] northern state university
[09:47:24]   [skip] northwest missouri state university
[09:47:24]   [skip] northwest nazarene college
[09:47:24]   [skip] northwestern college of iowa
[09:47:24]   [skip] northwestern state university
[09:47:24]   [skip] northwestern university
[09:47:24]   [skip] norwich university
[09:47:24]   [skip] nova southeastern university
[09:47:24]   [skip] oakland university
[09:47:24]   [skip] oberlin college
[09:47:24]   [skip] occidental college
[09:47:24]   [skip] olivet nazarene university
[09:47:24]   [skip] oral roberts university
[09:47:24]   [skip] oregon graduate institute of science and technology
[09:47:24]   [skip] oregon health sciences university
[09:47:24]   [skip] oregon institute of technology
[09:47:24]   [skip] oregon state university
[09:47:24]   [skip] otterbein college
[09:47:24]   [skip] our lady of the lake university
[09:47:24]   [skip] pace university
[09:47:24]   [skip] pacific lutheran university
[09:47:24]   [skip] pacific union college
[09:47:24]   [skip] pacific university
[09:47:24]   [skip] palm beach atlantic college
[09:47:24]   [skip] peace college
[09:47:24]   [skip] pembroke state university
[09:47:24]   [skip] pennsylvania state system of higher education
[09:47:24]   [skip] pennsylvania state university
[09:47:24]   [skip] pensacola christian college
[09:47:24]   [skip] pepperdine university
[09:47:24]   [skip] peru state college
[09:47:24]   [skip] philadelphia college of textiles and science
[09:47:24]   [skip] quinnipiac college
[09:47:24]   [skip] radford university
[09:47:24]   [skip] ramapo college
[09:47:24]   [skip] randolph-macon college
[09:47:24]   [skip] randolph-macon woman's college
[09:47:24]   [skip] reed college
[09:47:24]   [skip] regent university
[09:47:24]   [skip] regis university
[09:47:24]   [skip] rensselaer polytechnic institute
[09:47:24]   [skip] rhode island college
[09:47:24]   [skip] rhodes college
[09:47:24]   [skip] rice university
[09:47:24]   [skip] richard stockton college of new jersey
[09:47:24]   [skip] rider university
[09:47:24]   [skip] ripon college
[09:47:24]   [skip] rivier college
[09:47:24]   [skip] roanoke college
[09:47:24]   [skip] rochester institute of technology
[09:47:24]   [skip] rockford college
[09:47:24]   [skip] rockhurst college
[09:47:24]   [skip] rocky mountain college
[09:47:24]   [skip] roger williams university
[09:47:24]   [skip] rollins college
[09:47:24]   [skip] rosary college
[09:47:24]   [skip] rose-hulman institute of technology
[09:47:24]   [skip] rowan college
[09:47:24]   [skip] rutgers university
[09:47:24]   [skip] rutgers university, camden
[09:47:24]   [skip] rutgers university, newark
[09:47:24]   [skip] sacred heart university
[09:47:24]   [skip] saginaw valley state university
[09:47:24]   [skip] saint anselm college
[09:47:24]   [skip] saint cloud state university
[09:47:24]   [skip] saint edward's university
[09:47:24]   [skip] saint francis college
[09:47:24]   [skip] saint joseph's college
[09:47:24]   [skip] saint joseph's university
[09:47:24]   [skip] saint louis university
[09:47:24]   [skip] saint mary's college
[09:47:24]   [skip] saint mary's college of california
[09:47:24]   [skip] saint mary's university of minnesota
[09:47:24]   [skip] salisbury state university
[09:47:24]   [skip] salish kootenai college
[09:47:24]   [skip] sam houston state university
[09:47:24]   [skip] samford university
[09:47:24]   [skip] san diego state university
[09:47:24]   [skip] san francisco state university
[09:47:24]   [skip] san jose state university
[09:47:24]   [skip] santa clara university
[09:47:24]   [skip] sarah lawrence college
[09:47:24]   [skip] school of the art institute of chicago
[09:47:24]   [skip] seattle pacific university
[09:47:24]   [skip] seattle university
[09:47:24]   [skip] seton hall university
[09:47:24]   [skip] sewanee, university of the south
[09:47:24]   [skip] shawnee state university
[09:47:24]   [skip] shenandoah university
[09:47:24]   [skip] shippensburg university of pennsylvania
[09:47:24]   [skip] shorter college
[09:47:24]   [skip] simmons college
[09:47:24]   [skip] simon's rock college
[09:47:24]   [skip] simpson college
[09:47:24]   [skip] skidmore college
[09:47:24]   [skip] slippery rock university of pennsylvania
[09:47:24]   [skip] smith college
[09:47:24]   [skip] sonoma state university
[09:47:24]   [skip] south dakota school of mines and technology
[09:47:24]   [skip] south dakota state university
[09:47:24]   [skip] south texas college of law
[09:47:24]   [skip] southampton college
[09:47:24]   [skip] southeast missouri state university
[09:47:24]   [skip] southeastern louisiana university
[09:47:24]   [skip] southern college
[09:47:24]   [skip] southern college of technology
[09:47:24]   [skip] southern connecticut state university
[09:47:24]   [skip] southern illinois university
[09:47:24]   [skip] southern illinois university-carbondale
[09:47:24]   [skip] southern illinois university-edwardsville
[09:47:24]   [skip] southern methodist university
[09:47:24]   [skip] southern nazarene university
[09:47:24]   [skip] southern oregon state college
[09:47:24]   [skip] southern university
[09:47:24]   [skip] southern utah university
[09:47:24]   [skip] southwest baptist university
[09:47:24]   [skip] southwest missouri state university
[09:47:24]   [skip] southwest state university
[09:47:24]   [skip] southwest texas state university
[09:47:24]   [skip] southwestern adventist college
[09:47:24]   [skip] southwestern university
[09:47:24]   [skip] spelman college
[09:47:24]   [skip] spring arbor college
[09:47:24]   [skip] spring hill college
[09:47:24]   [skip] st. ambrose university
[09:47:24]   [skip] st. andrews presbyterian college
[09:47:24]   [skip] st. bonaventure university
[09:47:24]   [skip] st. john's college-annapolis
[09:47:24]   [skip] st. john's college-santa fe
[09:47:24]   [skip] st. joseph college
[09:47:24]   [skip] st. joseph's college
[09:47:24]   [skip] st. lawrence university
[09:47:24]   [skip] st. louis college of pharmacy
[09:47:24]   [skip] st. martin's college
[09:47:24]   [skip] st. thomas university
[09:47:24]   [skip] stanford university
[09:47:24]   [skip] state university of new york at albany
[09:47:24]   [skip] state university of new york at binghamton
[09:47:24]   [skip] state university of new york at buffalo
[09:47:24]   [skip] state university of new york at farmingdale
[09:47:24]   [skip] state university of new york at fredonia
[09:47:24]   [skip] state university of new york at oswego
[09:47:24]   [skip] state university of new york at plattsburgh
[09:47:24]   [skip] state university of new york at stony brook
[09:47:24]   [skip] state university of new york college at brockport
[09:47:24]   [skip] state university of new york college at buffalo
[09:47:24]   [skip] state university of new york college at cortland
[09:47:24]   [skip] state university of new york college at geneseo
[09:47:24]   [skip] state university of new york college at oneonta
[09:47:24]   [skip] state university of new york college at potsdam
[09:47:24]   [skip] state university of new york college of environmental science and forestry
[09:47:24]   [skip] state university of new york college of technology at alfred
[09:47:24]   [skip] state university of new york system
[09:47:24]   [skip] stephen f. austin state university
[09:47:24]   [skip] stephens college
[09:47:24]   [skip] stetson university
[09:47:24]   [skip] stevens institute of technology
[09:47:24]   [skip] strayer college
[09:47:24]   [skip] suffolk university
[09:47:24]   [skip] sul ross state university
[09:47:24]   [skip] susquehanna university
[09:47:24]   [skip] swarthmore college
[09:47:24]   [skip] sweet briar college
[09:47:24]   [skip] syracuse university
[09:47:24]   [skip] tabor college
[09:47:24]   [skip] tarleton state university
[09:47:24]   [skip] taylor university
[09:47:24]   [skip] teachers college, columbia university
[09:47:24]   [skip] teikyo marycrest university
[09:47:24]   [skip] temple university
[09:47:24]   [skip] tennessee state university
[09:47:24]   [skip] tennessee technological university
[09:47:24]   [skip] texas a&m international university
[09:47:24]   [skip] texas a&m university-college station
[09:47:24]   [skip] texas a&m university-corpus christi
[09:47:24]   [skip] texas a&m university-kingsville
[09:47:24]   [skip] texas christian university
[09:47:24]   [skip] texas southern university
[09:47:24]   [skip] texas tech university
[09:47:24]   [skip] texas tech university-health sciences center
[09:47:24]   [skip] texas woman's university
[09:47:24]   [skip] the catholic university of america
[09:47:24]   [skip] the chicago school of professional psychology
[09:47:24]   [skip] the citadel
[09:47:24]   [skip] the college of wooster
[09:47:24]   [skip] the cooper union for the advancement of science and art
[09:47:24]   [skip] the jewish theological seminary
[09:47:24]   [skip] the rockefeller university
[09:47:24]   [skip] the sage colleges
[09:47:24]   [skip] the union institute
[09:47:24]   [skip] thomas college
[09:47:24]   [skip] thomas edison state college
[09:47:24]   [skip] thomas jefferson university
[09:47:24]   [skip] thomas more college
[09:47:24]   [skip] towson state university
[09:47:24]   [skip] transylvania university
[09:47:24]   [skip] trenton state college
[09:47:24]   [skip] trinity university
[09:47:24]   [skip] troy state university
[09:47:24]   [skip] truman state university
[09:47:24]   [skip] tucson university
[09:47:24]   [skip] tufts university
[09:47:24]   [skip] tulane university
[09:47:24]   [skip] tuskegee university
[09:47:24]   [skip] union college
[09:47:24]   [skip] union university
[09:47:24]   [skip] united states air force academy
[09:47:24]   [skip] united states merchant marine academy
[09:47:24]   [skip] united states military academy
[09:47:24]   [skip] united states naval academy
[09:47:24]   [skip] university of akron
[09:47:24]   [skip] university of alabama at birmingham
[09:47:24]   [skip] university of alabama at huntsville
[09:47:24]   [skip] university of alabama at tuscaloosa
[09:47:24]   [skip] university of alaska
[09:47:24]   [skip] university of alaska-anchorage
[09:47:24]   [skip] university of alaska-fairbanks
[09:47:24]   [skip] university of alaska-southeast
[09:47:24]   [skip] university of arizona
[09:47:24]   [skip] university of arkansas - fayetteville
[09:47:24]   [skip] university of arkansas - little rock
[09:47:24]   [skip] university of arkansas - monticello
[09:47:24]   [skip] university of arkansas for medical sciences
[09:47:24]   [skip] university of baltimore
[09:47:24]   [skip] university of bridgeport
[09:47:24]   [skip] university of california, berkeley
[09:47:24]   [skip] university of california, davis
[09:47:24]   [skip] university of california, irvine
[09:47:24]   [skip] university of california, los angeles
[09:47:24]   [skip] university of california, riverside
[09:47:24]   [skip] university of california, san diego
[09:47:24]   [skip] university of california, san francisco
[09:47:24]   [skip] university of california, santa barbara
[09:47:24]   [skip] university of denver
[09:47:24]   [skip] university of detroit mercy
